prompt_text,category
Guide me about financial planning,Personal
Translate financial planning into Spanish,Translation
Create a business plan for software testing,Business
Explain marketing strategy for web development,Business
Write a motivational quote on time management,Creative
Explain cyber security in 5 bullet points,Summarization
Fix this bug related to machine learning,Coding
Summarize the article about time management,Summarization
Write a pitch deck idea for digital marketing,Business
Provide a brief overview of blockchain technology,Summarization
Write a short story on web development,Creative
Help me deal with deep learning,Personal
Create an algorithm for startup ideas,Coding
Convert natural language processing into English,Translation
How to grow a business related to web development,Business
Write a creative paragraph about data science,Creative
Summarize the article about web development,Summarization
Write a poem about data science,Creative
Create an algorithm for software testing,Coding
Generate Java code for deep learning,Coding
Convert time management into English,Translation
Explain cyber security in 5 bullet points,Summarization
Help me deal with climate change,Personal
Provide a brief overview of time management,Summarization
Generate Java code for cyber security,Coding
Give a short summary of interview preparation,Summarization
Write a poem about artificial intelligence,Creative
Give me advice on mental health,Personal
Write a creative paragraph about startup ideas,Creative
Translate startup ideas into Spanish,Translation
Write a Python function to climate change,Coding
Translate web development into French,Translation
Explain financial planning in simple words,Academic
Explain database indexing in 5 bullet points,Summarization
Write a short story on software testing,Creative
Explain mental health in simple words,Academic
Summarize the article about digital marketing,Summarization
Write a Python function to cloud computing,Coding
Explain interview preparation in 5 bullet points,Summarization
Create a business plan for climate change,Business
Translate mental health into French,Translation
Write short notes on data science,Academic
Tips to manage time management,Personal
Fix this bug related to software testing,Coding
What is the importance of blockchain technology,Academic
Give a short summary of time management,Summarization
Give a short summary of startup ideas,Summarization
What is the importance of Python loops,Academic
Translate mental health into French,Translation
Write a short story on Python loops,Creative
Explain SWOT analysis for blockchain technology,Business
Give a short summary of interview preparation,Summarization
Give me advice on startup ideas,Personal
Guide me about startup ideas,Personal
Guide me about deep learning,Personal
What is the importance of financial planning,Academic
What is the importance of interview preparation,Academic
Guide me about software testing,Personal
Translate mental health into German,Translation
Translate interview preparation into French,Translation
Write a poem about cloud computing,Creative
How can I improve my climate change,Personal
Translate cyber security into French,Translation
Explain SWOT analysis for time management,Business
Write short notes on machine learning,Academic
Translate natural language processing into Spanish,Translation
Give me advice on deep learning,Personal
Create an algorithm for cyber security,Coding
Guide me about Python loops,Personal
Summarize the article about time management,Summarization
How can I improve my Python loops,Personal
Tips to manage web development,Personal
Explain Python loops in simple words,Academic
Write a pitch deck idea for natural language processing,Business
Write a pitch deck idea for cyber security,Business
Summarize this text related to blockchain technology,Summarization
Summarize the article about time management,Summarization
Write a Python function to climate change,Coding
Summarize this text related to mental health,Summarization
Help me deal with climate change,Personal
Translate artificial intelligence into Urdu,Translation
What is the importance of database indexing,Academic
Explain database indexing in simple words,Academic
Translate career growth into French,Translation
Write a short story on climate change,Creative
Write a short story on mental health,Creative
Create a dialogue about web development,Creative
Guide me about cloud computing,Personal
Explain how climate change works in programming,Coding
Guide me about blockchain technology,Personal
Create an algorithm for web development,Coding
Define Python loops for beginners,Academic
Translate interview preparation into French,Translation
Convert artificial intelligence into English,Translation
How to grow a business related to time management,Business
Write a short story on financial planning,Creative
Translate mental health into Urdu,Translation
Translate career growth into French,Translation
Write a Python function to database indexing,Coding
Create an algorithm for artificial intelligence,Coding
Explain startup ideas with examples,Academic
Explain digital marketing in 5 bullet points,Summarization
Summarize the article about database indexing,Summarization
Translate data science into German,Translation
Write a poem about interview preparation,Creative
Explain blockchain technology in 5 bullet points,Summarization
Define career growth for beginners,Academic
Summarize this text related to web development,Summarization
Write a poem about mental health,Creative
Tips to manage interview preparation,Personal
Guide me about database indexing,Personal
Write a creative paragraph about interview preparation,Creative
Explain interview preparation in simple words,Academic
Write a Python function to interview preparation,Coding
Generate Java code for artificial intelligence,Coding
Explain data science in simple words,Academic
Summarize this text related to cloud computing,Summarization
Guide me about database indexing,Personal
Write a Python function to data science,Coding
Explain blockchain technology with examples,Academic
Guide me about career growth,Personal
Explain marketing strategy for blockchain technology,Business
Guide me about web development,Personal
Define time management for beginners,Academic
Explain SWOT analysis for interview preparation,Business
Give a short summary of software testing,Summarization
Summarize this text related to software testing,Summarization
Translate interview preparation into Urdu,Translation
Generate Java code for artificial intelligence,Coding
Provide a brief overview of climate change,Summarization
Explain SWOT analysis for software testing,Business
Create a business plan for artificial intelligence,Business
Give a short summary of cloud computing,Summarization
Give a short summary of software testing,Summarization
Translate career growth into Urdu,Translation
Explain time management in 5 bullet points,Summarization
What is the importance of software testing,Academic
Write a poem about interview preparation,Creative
How can I improve my blockchain technology,Personal
Summarize the article about database indexing,Summarization
Explain how cyber security works in programming,Coding
Convert web development into English,Translation
Write a Python function to deep learning,Coding
Fix this bug related to natural language processing,Coding
Generate Java code for cyber security,Coding
Guide me about digital marketing,Personal
Write a pitch deck idea for natural language processing,Business
Write a pitch deck idea for career growth,Business
Explain artificial intelligence with examples,Academic
Explain cyber security with examples,Academic
Write a poem about mental health,Creative
